accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
6,2.0,3.0,1.0,4.82,Fremont,Entire home/apt,standard,125.0
3,1.0,1.0,1.0,5.0,Lower Queen Anne,Entire home/apt,standard,80.0
2,1.0,1.0,1.0,5.0,South Lake Union,Entire home/apt,standard,132.0
3,1.0,1.0,1.0,4.84,Whittier Heights,Entire home/apt,standard,99.0
2,0.0,1.0,1.0,4.31,Minor,Entire home/apt,standard,51.0
2,1.0,1.0,1.0,5.0,North Beach/Blue Ridge,Entire home/apt,standard,100.0
10,2.0,6.0,1.0,4.88,First Hill,Entire home/apt,standard,265.0
5,2.0,2.0,1.5,4.63,Haller Lake,Entire home/apt,standard,113.0
2,2.0,1.0,1.0,5.0,West Woodland,Entire home/apt,standard,290.0
2,1.0,1.0,1.0,4.97,Fauntleroy,Entire home/apt,standard,117.0
2,0.0,1.0,1.0,4.72,Fremont,Private room,shared,95.0
6,3.0,4.0,3.0,5.0,Sunset Hill,Entire home/apt,standard,250.0
2,0.0,1.0,1.0,4.97,Gatewood,Entire home/apt,standard,75.0
5,3.0,3.0,2.0,4.88,Olympic Hills,Entire home/apt,standard,275.0
2,1.0,1.0,1.0,4.66,Adams,Entire home/apt,standard,105.0
2,1.0,1.0,1.0,4.82,Belltown,Entire home/apt,standard,134.0
2,0.0,1.0,1.0,4.94,Belltown,Entire home/apt,standard,148.0
6,2.0,3.0,2.0,4.95,Pike-Market,Entire home/apt,standard,198.0
4,2.0,3.0,1.0,4.96,Haller Lake,Entire home/apt,standard,149.0
2,1.0,1.0,1.0,4.87,Atlantic,Entire home/apt,standard,70.0
4,2.0,2.0,1.0,4.5,South Lake Union,Entire home/apt,standard,105.0
4,1.0,2.0,1.0,4.76,South Lake Union,Entire home/apt,standard,123.0
6,3.0,3.0,2.0,4.91,Wallingford,Entire home/apt,standard,272.0
5,2.0,3.0,2.0,4.88,Minor,Entire home/apt,standard,144.0
2,0.0,1.0,1.0,3.0,Adams,Entire home/apt,standard,81.0
8,3.0,4.0,3.0,4.94,Montlake,Entire home/apt,standard,724.0
7,3.0,4.0,2.0,4.98,Adams,Entire home/apt,standard,195.0
2,1.0,1.0,1.0,4.94,South Park,Entire home/apt,standard,80.0
6,2.0,2.0,1.0,4.89,Belltown,Entire home/apt,standard,122.0
8,3.0,4.0,2.0,4.9,Brighton,Entire home/apt,standard,132.0
1,0.0,1.0,1.0,4.83,Maple Leaf,Entire home/apt,standard,85.0
